Sarsa,QLearning,Sarsa Error Bar,QLearning Error Bar
3.36834,3.45399,0.0409749,0.0414869
3.33353,3.42635,0.042574,0.0383884
3.3374,3.41068,0.0416325,0.0396432
3.33872,3.49916,0.0433614,0.0365982
3.36311,3.45097,0.0408823,0.0368695
3.31404,3.47157,0.0426721,0.0401282
3.35332,3.42052,0.041784,0.0398748
3.3313,3.43657,0.0420664,0.0399842
3.37926,3.46608,0.0479812,0.0411804
3.3858,3.47964,0.0419567,0.0374602
3.36201,3.45359,0.0463607,0.0410327
3.31673,3.46182,0.0457303,0.036417
3.34512,3.44973,0.0410416,0.0382586
3.3422,3.49545,0.0443518,0.0368946
3.35117,3.46775,0.0455143,0.0374622
3.33596,3.48281,0.0431648,0.0390394
3.37703,3.48648,0.0424441,0.037685
3.35611,3.51349,0.0432899,0.0376005
3.35981,3.47212,0.044126,0.0424945
3.37941,3.47864,0.0410167,0.0440557
3.30969,3.48596,0.0438743,0.039079
3.36533,3.54287,0.0426168,0.0360909
3.34738,3.46771,0.041394,0.0416703
3.38769,3.49562,0.0399316,0.0374999
3.38586,3.49357,0.0426179,0.0371742
3.38355,3.47651,0.0453173,0.0374767
3.33253,3.50779,0.0448711,0.035484
3.34954,3.50545,0.046355,0.0392151
3.44248,3.46692,0.0416297,0.0373891
3.33119,3.46964,0.0426118,0.0381084
3.38515,3.51862,0.0431447,0.0356745
3.40477,3.46355,0.0416143,0.0405712
3.31721,3.50947,0.0419218,0.0377636
3.39588,3.51098,0.0407535,0.0377411
3.36992,3.50906,0.0407381,0.0371831
3.40553,3.44786,0.040948,0.0379331
3.45205,3.4903,0.0397321,0.0375823
3.37604,3.49141,0.0404613,0.0390791
3.3516,3.49478,0.0424443,0.0368575
3.39999,3.48251,0.0396278,0.0367738
3.35826,3.48312,0.0445845,0.0363363
3.45158,3.48068,0.0396544,0.0421818
3.41704,3.53787,0.0403321,0.0388567
3.38098,3.50268,0.0410346,0.0381812
3.34623,3.47116,0.0428622,0.0400246
3.39319,3.56284,0.0433794,0.0378948
3.40546,3.50511,0.0438184,0.0352304
3.40323,3.51295,0.0391352,0.0406371
3.41547,3.49498,0.0391824,0.0383516
3.39152,3.50743,0.0398089,0.0357925
3.40463,3.53081,0.0386859,0.0367112
3.39946,3.56008,0.0431319,0.0365037
3.44339,3.52294,0.0387029,0.0359923
3.40411,3.52204,0.0447883,0.0356504
3.42458,3.48427,0.0423497,0.0379754
3.41756,3.49211,0.0394639,0.0360472
3.42575,3.50382,0.0408685,0.0374518
3.41521,3.54968,0.0379617,0.0354205
3.47266,3.5936,0.0388917,0.0349431
3.45105,3.5409,0.0398323,0.0363371
3.39895,3.53591,0.0406218,0.038671
3.46446,3.55051,0.0392345,0.0358429
3.46954,3.51891,0.0382373,0.0379238
3.41265,3.50894,0.0402092,0.0406709
3.43448,3.52115,0.0376715,0.0412627
3.44623,3.54507,0.0389928,0.0350469
3.45196,3.51662,0.0378749,0.0370758
3.39089,3.5263,0.0575668,0.0358248
3.44515,3.55194,0.0390851,0.0330377
3.46506,3.5021,0.0371565,0.0370859
3.39314,3.53174,0.0394653,0.0352493
3.44562,3.55288,0.0382477,0.034674
3.42914,3.52978,0.0407265,0.0432493
3.45101,3.59071,0.0391221,0.0325306
3.41752,3.55668,0.0385277,0.0359123
3.41983,3.53906,0.037537,0.0355861
3.44192,3.5463,0.0382316,0.0349301
3.45049,3.5101,0.0381719,0.0367761
3.44444,3.50763,0.0419042,0.0361009
3.42633,3.55132,0.0402366,0.0422375
3.46481,3.5796,0.036551,0.0347587
3.4585,3.54009,0.0373619,0.0359013
3.46015,3.5179,0.0399387,0.0339653
3.47002,3.53321,0.0374532,0.035801
3.45676,3.58883,0.0385835,0.0347353
3.43586,3.5966,0.038961,0.0337519
3.42309,3.56352,0.0378975,0.0359653
3.44901,3.55394,0.0391019,0.0363584
3.51737,3.57294,0.0372418,0.0341262
3.4012,3.53914,0.0396163,0.0341775
3.47003,3.5627,0.0367671,0.0359931
3.45592,3.57743,0.0376531,0.0350065
3.41431,3.55649,0.0395131,0.0347492
3.50497,3.54308,0.0363062,0.0344466
3.46961,3.51172,0.0395664,0.033771
3.48904,3.52584,0.0387746,0.0367331
3.46339,3.55258,0.0375403,0.0354679
3.42788,3.58872,0.0371224,0.0368424
3.46473,3.56225,0.0402454,0.035199
3.43191,3.61598,0.0389478,0.0324347
3.45311,3.53721,0.0367949,0.0387267
3.44101,3.56246,0.0401335,0.0346758
3.46043,3.59779,0.0376111,0.0322592
3.48434,3.51409,0.0390863,0.0384808
3.4921,3.58484,0.0375821,0.0342138
3.47898,3.53104,0.0386842,0.0342529
3.45679,3.54948,0.0426885,0.0334102
3.4866,3.58333,0.0381041,0.0341314
3.4529,3.57991,0.0382145,0.0355427
