Sarsa,QLearning,Sarsa Error Bar,QLearning Error Bar
-146.667,-148.667,2.8992,2.80079
-146.767,-150.6,3.00562,3.96931
-146.067,-144.767,1.89611,0.483482
-145.1,-154.6,1.37159,4.94257
-150.967,-149.1,4.50835,3.11443
-145.333,-150.767,1.96014,3.40982
-146.167,-148.533,3.2748,3.19185
-144.267,-145.367,0.531606,0.616783
-149.8,-144.967,4.36612,0.620499
-142.8,-145.667,0.515061,0.553637
-143.133,-145.5,0.478824,0.615415
-145.867,-145.667,2.61505,0.682007
-142.567,-149.067,0.403101,4.13089
-143.933,-146.467,1.52069,0.598337
-144.467,-145.567,2.43996,0.562595
-145.5,-152.167,3.01595,4.62032
-144.8,-145.2,3.06309,0.562016
-142.333,-144.3,0.432404,0.567612
-142.1,-147.867,0.525991,2.98184
-141.8,-145.167,0.485183,0.569499
-142.1,-144.7,0.671848,0.601053
-141.3,-144.6,0.540647,0.677385
-141.433,-147.333,0.602072,2.88688
-141.367,-145.433,0.510765,0.771151
-145.167,-144.667,2.91018,0.46568
-142.167,-146.933,0.505336,2.76677
-141.233,-147.6,0.541779,2.71801
-141.267,-151.267,0.538054,3.99452
-140.367,-148.8,0.363518,3.09705
-144.133,-143.4,3.19653,0.488017
-142.267,-144.867,0.479303,0.653432
-140.367,-150.533,0.510765,4.21512
-142.967,-144.2,2.35498,0.614761
-141.033,-143.433,0.360343,0.6893
-141.4,-148.133,0.547932,3.05796
-141.1,-143.933,0.508208,0.449606
-141.333,-147.767,0.468142,2.99221
-140.3,-144,0.500919,0.693152
-139.833,-145.567,0.374729,2.82505
-141.133,-144.6,0.488331,0.67908
-140.767,-147.3,0.36415,4.03295
-139.6,-143.467,0.370151,0.57282
-141.1,-143.1,1.00955,0.432448
-139.933,-146.967,0.561061,2.63639
-140.033,-146.867,0.549782,3.32519
-140.333,-148.333,0.450627,3.62124
-139.667,-143.367,0.470591,0.494762
-140.567,-143.833,0.635507,0.612294
-139.967,-143.067,0.385016,0.522886
-139.6,-143.3,0.504235,0.551174
-139.233,-146.333,0.334538,2.77647
-139.6,-142.933,0.473675,0.514018
-139.367,-144,0.366667,0.563242
-141.667,-143.133,2.99859,0.441349
-138.767,-143.233,0.41435,0.596317
-139.1,-142.833,0.276887,0.555191
-139.133,-146.1,0.400383,3.01733
-140,-143.2,0.612138,0.410774
-139.567,-145.6,0.466543,2.85295
-139.067,-145.4,0.464692,3.29179
-139.2,-142.7,0.427234,0.48459
-138.833,-142.5,0.407073,0.541921
-138.867,-142.933,0.533333,0.653784
-139.1,-142.767,0.404998,0.473877
-138.567,-142.433,0.354554,0.655101
-139,-142.733,0.409654,0.516249
-138.6,-142.967,0.373243,0.521896
-138.8,-148.533,0.387743,4.28623
-139.233,-142.333,0.388582,0.475451
-138.333,-142.4,0.356655,0.586437
-140.333,-142.6,1.36148,0.360714
-137.667,-145.333,0.421637,2.75027
-137.9,-142.367,0.359917,0.524094
-138.467,-141.6,0.385762,0.435758
-139.433,-142.533,1.40662,0.533333
-140,-141.833,1.4902,0.484432
-139.867,-141.733,1.3491,0.40665
-137.667,-140.9,0.308252,0.340216
-138.667,-142.033,0.416149,0.603597
-138.9,-142.767,0.350205,0.459093
-139.4,-142.033,1.13927,0.430139
-137.867,-144.833,0.23845,2.72413
-138.633,-141.4,0.480621,0.435758
-138.9,-141.7,1.30106,0.470143
-137.667,-142.233,0.3045,0.408764
-138.1,-142.5,0.363097,0.522483
-137.7,-142.467,0.322169,0.446528
-138.667,-142.367,0.468142,0.558082
-138.267,-142.233,0.412264,0.443817
-137,-141.367,0.291646,0.372884
-137.167,-142,0.295885,0.444636
-137.733,-141.267,0.345524,0.403813
-137.533,-141.267,0.36745,0.302986
-137.367,-144.267,0.419313,2.27173
-137.433,-144.6,0.36098,2.59646
-136.933,-141.467,0.314161,0.425436
-137.333,-147.4,0.336764,4.17563
-137.633,-141.867,0.353905,0.504539
-137.133,-141.467,0.302227,0.454184
-137.233,-141.767,0.3735,0.448966
-136.9,-145.133,0.259752,3.49868
-138.6,-144.733,1.42119,2.54293
-137.2,-140.9,0.300956,0.372472
-137.6,-141.567,0.34106,0.502141
-137.467,-141.7,0.443946,0.352821
-137.267,-140.9,0.368075,0.343578
-136.7,-140.833,0.288277,0.398513
-137.333,-140.6,0.322823,0.388336
-136.967,-140.833,0.289603,0.401386
-136.7,-141.667,0.342908,0.492083
-136.7,-140.733,0.292237,0.44187
-136.467,-141.367,0.298399,0.458592
-136.867,-140.7,0.364308,0.336138
-136.7,-141.167,0.263269,0.449989
-137.233,-141.033,0.305818,0.366667
-136.6,-140.733,0.297885,0.40665
-136.933,-140.633,0.314161,0.378998
-136.4,-141.167,0.277923,0.523216
-136.533,-143.533,0.257009,2.81406
-136.633,-143.133,0.375953,2.58276
-136.8,-140.9,0.226923,0.300765
-137.267,-141.067,0.314161,0.420545
-136.3,-140.533,0.235621,0.36745
-136.433,-140.633,0.305818,0.45101
-136.933,-141.067,0.331951,0.395182
-136.267,-140.267,0.214065,0.371184
-136.733,-139.633,0.283384,0.337276
-136.433,-143.367,0.26988,3.24781
-136.4,-141.367,0.251889,0.427458
-136.533,-140.667,0.290593,0.336764
-136.867,-140.1,0.265803,0.363097
-136.333,-140.367,0.236514,0.350643
-136.267,-140.167,0.244166,0.275778
-136.4,-140.767,0.265226,0.391529
-136.533,-140.433,0.286611,0.36415
-136.333,-140.867,0.236514,0.33471
-136.3,-140.5,0.220501,0.370616
-135.933,-140.2,0.287411,0.396537
-136.2,-140.2,0.211182,0.407967
-135.733,-139.967,0.229609,0.323356
-136.267,-140.167,0.275152,0.328995
-136.333,-140.6,0.289007,0.363887
-136.4,-139.533,0.222834,0.32777
-136.2,-140.033,0.226923,0.475813
-136.433,-140.533,0.290395,0.344858
-136.1,-140.367,0.193872,0.396778
-135.967,-140.267,0.211635,0.444464
-135.833,-140.233,0.209451,0.425301
-136.1,-140.033,0.231685,0.430139
-136.267,-140.267,0.165629,0.331951
-135.967,-139.867,0.246741,0.373653
-135.767,-139.333,0.238209,0.255214
-136.133,-139.667,0.265803,0.333333
-136.1,-140.033,0.296919,0.312511
-136.4,-140.1,0.251889,0.296919
-135.867,-139.6,0.23845,0.273756
-135.767,-139.633,0.28641,0.26472
-135.533,-139.367,0.23358,0.216998
-135.733,-139.967,0.203042,0.340666
-137.7,-140.033,1.54708,0.375953
-137.267,-139.467,1.5595,0.38873
-137.067,-140.4,1.32434,0.373243
-137.467,-140.333,1.58639,0.353418
-137.267,-139.5,1.41822,0.261516
-137.5,-139.533,1.61227,0.324244
-137.467,-139.133,1.75036,0.306006
-137.133,-139.967,1.46196,0.312511
-137.8,-139.9,1.68045,0.329925
-136.9,-139.733,1.3615,0.253406
