Tabular Random Search,BBO,TRS Error Bar,BBO Error Bar
-0.286012,0.0466521,0.0626645,0.0446385
-0.330815,0.109129,0.0829178,0.0273483
-0.273213,0.0774529,0.072826,0.0373418
-0.400121,0.1108,0.0762457,0.0428073
-0.411108,0.0897155,0.0881049,0.0430025
-0.335215,0.0159263,0.0737711,0.0547516
-0.384147,0.0813403,0.074585,0.0429188
-0.366699,0.095091,0.0778275,0.0521587
-0.373307,0.187302,0.0735907,0.0339613
-0.313726,0.123894,0.069997,0.0397101
-0.356596,0.0658028,0.0679229,0.0558552
-0.402597,0.195993,0.0849117,0.0353574
-0.33973,0.0986398,0.0825567,0.0401809
-0.377738,0.0749744,0.0749988,0.0613922
-0.343318,0.167995,0.0809346,0.0326641
-0.425675,0.131936,0.0768223,0.0343146
-0.383098,0.147547,0.0754181,0.0376174
-0.532187,0.0809233,0.102349,0.0485486
-0.442183,0.0991597,0.0846335,0.0405844
-0.47213,0.0889275,0.0832305,0.0505714
-0.45959,0.0617893,0.0923334,0.0648101
-0.457358,0.159395,0.100587,0.0319524
-0.342055,0.12378,0.0797451,0.0404258
-0.457781,0.167875,0.086892,0.0352932
-0.455386,0.163209,0.090587,0.0397174
-0.488801,-0.0023938,0.0963973,0.06927
-0.451906,0.155824,0.0888524,0.0317539
-0.30996,0.221514,0.0663366,0.0327681
-0.294441,0.232781,0.0752795,0.0358594
-0.23627,0.125795,0.04465,0.050462
-0.28337,0.164337,0.0558965,0.0344119
-0.329342,0.0500777,0.0681022,0.0648954
-0.262297,0.101861,0.0487172,0.048343
-0.31253,0.180615,0.0653555,0.0283912
-0.206998,0.144772,0.0468737,0.0443665
-0.352994,0.163206,0.0785112,0.0453079
-0.426709,0.164953,0.0903477,0.0399145
-0.291445,0.0769199,0.0603576,0.0555771
-0.420724,0.124537,0.0799561,0.0444603
-0.294518,0.0698643,0.0639825,0.0567942
-0.441984,0.100415,0.0863901,0.0499337
-0.430135,0.116355,0.0853893,0.0404492
-0.474071,0.0984096,0.0857276,0.0463088
-0.432119,0.194124,0.0913636,0.0334617
-0.408263,0.0978935,0.0968578,0.0621467
-0.396815,0.147572,0.0848741,0.0384336
-0.487842,0.0750829,0.0930066,0.0538256
-0.33426,0.228292,0.0696238,0.0475163
-0.228729,0.265419,0.0524946,0.0459823
-0.351634,0.207324,0.0733004,0.0468241
-0.267413,0.182296,0.0582794,0.044258
-0.314162,0.192735,0.0727022,0.036921
-0.28878,0.268355,0.0680251,0.0303763
-0.375944,0.146514,0.0788429,0.0550028
-0.27584,0.158516,0.063753,0.0433268
-0.298346,0.115488,0.0603415,0.0571602
-0.319008,0.214553,0.0736587,0.0466214
-0.414462,0.196632,0.0854896,0.0329442
-0.333806,0.120581,0.0601922,0.0499437
-0.337983,0.166842,0.0736552,0.0380739
-0.358644,0.121348,0.082709,0.049885
-0.319847,0.1246,0.0779984,0.0423402
-0.494961,0.137806,0.0923478,0.0365943
-0.223146,0.165415,0.0412642,0.0550371
-0.403814,0.223364,0.0879682,0.0371485
-0.325356,0.180627,0.0832133,0.0366088
-0.438243,0.153233,0.0869878,0.0430358
-0.22829,0.269329,0.056232,0.0373244
-0.343961,0.29426,0.0743484,0.0390381
-0.305973,0.225577,0.0609185,0.04427
-0.37513,0.277901,0.0882056,0.0380994
-0.39035,0.24123,0.0700191,0.0370049
-0.348823,0.193211,0.0776311,0.0496209
-0.397537,0.232554,0.0775708,0.0449128
-0.396304,0.208455,0.081182,0.0347442
-0.380623,0.222233,0.0852715,0.0393759
-0.547172,0.28499,0.114729,0.036526
-0.335057,0.182584,0.0727122,0.0520227
-0.302386,0.20062,0.0675985,0.0586224
-0.355293,0.196929,0.075571,0.0393385
-0.274863,0.149564,0.0691445,0.0483915
-0.41216,0.198944,0.0725831,0.0378453
-0.332057,0.155267,0.0697778,0.0711677
-0.446979,0.248568,0.0946262,0.0367361
-0.283035,0.154273,0.060482,0.0671038
-0.283153,0.13192,0.0622671,0.0488011
-0.290775,0.125058,0.0686325,0.0481373
-0.39437,0.295494,0.0914057,0.0415453
-0.479515,0.268507,0.0924205,0.0448788
-0.304481,0.25135,0.0750256,0.0497121
-0.447333,0.304289,0.0948466,0.037048
-0.430955,0.269657,0.104904,0.0355712
-0.399304,0.184429,0.0881998,0.046732
-0.346339,0.130642,0.0775249,0.0614049
-0.379924,0.20068,0.0835984,0.04883
-0.386842,0.257646,0.0931656,0.051554
-0.377639,0.214811,0.0790913,0.0501759
-0.432121,0.255438,0.0791054,0.0436373
-0.442055,0.202906,0.096172,0.0455531
-0.419547,0.123579,0.0813387,0.0626107
-0.47607,0.185467,0.0859078,0.0496861
-0.423821,0.188902,0.0871169,0.0480628
-0.423105,0.225889,0.076068,0.0472014
-0.46612,0.237919,0.105024,0.0492305
-0.273887,0.132267,0.0704417,0.0584903
-0.370761,0.224064,0.0840191,0.0458973
-0.496674,0.334842,0.0976815,0.0315983
-0.179958,0.267912,0.0490318,0.0573355
-0.214204,0.310441,0.0470232,0.0472107
-0.391176,0.354369,0.0761859,0.0394577
-0.387597,0.231689,0.0951119,0.0538884
-0.281479,0.280857,0.0725185,0.0436046
-0.126141,0.265118,0.0339743,0.0459958
-0.31005,0.225935,0.0660215,0.0550652
-0.303831,0.259611,0.0589017,0.04156
-0.313749,0.306016,0.0649236,0.0485042
-0.307629,0.346854,0.074531,0.038789
-0.429511,0.303981,0.0913279,0.0395236
-0.383264,0.262242,0.0959133,0.0535353
-0.294225,0.167418,0.0690401,0.0598138
-0.347269,0.225694,0.072203,0.0473151
-0.296904,0.23537,0.0622151,0.0481235
-0.256736,0.161053,0.0771944,0.0503024
-0.457388,0.328025,0.0945288,0.0355794
-0.356607,0.282647,0.0752243,0.0485056
-0.456024,0.207839,0.108365,0.052157
-0.406399,0.175931,0.0879041,0.0592782
-0.274733,0.379622,0.0724204,0.0359475
-0.347633,0.419197,0.0906045,0.0403108
-0.31845,0.354824,0.0737441,0.044833
-0.279782,0.356955,0.0671537,0.0386086
-0.244183,0.291716,0.0586384,0.0481104
-0.209711,0.33959,0.0600183,0.0364301
-0.300785,0.329693,0.0684821,0.038919
-0.314918,0.253615,0.084464,0.0542111
-0.272823,0.2887,0.0723692,0.0586629
-0.206166,0.338619,0.0485851,0.0438139
-0.447965,0.334007,0.088569,0.0390538
