REINFORCE,BBO,TRS Error Bar,BBO Error Bar
0.862046,-0.119928,0.0369849,0.0473771
0.902297,-0.112413,0.0421407,0.0413551
0.918587,-0.141826,0.0383365,0.0494902
0.920564,-0.114522,0.040585,0.0410336
0.927287,-0.185066,0.0378716,0.0588665
0.897475,-0.132805,0.0383234,0.0526097
0.901391,-0.0601644,0.0387599,0.0374106
0.943251,-0.121998,0.041897,0.0477865
0.928534,-0.0775775,0.0384563,0.048454
0.948215,-0.0802708,0.0385999,0.042761
0.951201,-0.170033,0.0390195,0.0489986
0.953899,-0.162286,0.0427484,0.0662726
0.942227,-0.152902,0.0403771,0.0589204
0.914463,-0.0440975,0.0445175,0.0407125
0.891136,-0.117349,0.0384213,0.0594351
0.914508,-0.0643199,0.0393614,0.0487561
0.94628,-0.0350139,0.0412814,0.0324845
0.980231,-0.104411,0.0399071,0.0424075
1.00194,-0.105978,0.037459,0.05562
0.983199,-0.0625192,0.0382717,0.0484535
1.01094,-0.0920947,0.0408951,0.0374963
1.04347,-0.111694,0.0388886,0.0470067
1.04721,-0.133101,0.0411879,0.0640407
0.996826,-0.112646,0.0441496,0.064043
1.00168,-0.0662122,0.042072,0.0361755
1.11108,-0.0591555,0.0419235,0.0469881
1.04065,-0.0878769,0.0399124,0.0547234
1.02967,0.0271111,0.0381802,0.033868
1.03122,-0.047186,0.039208,0.0400517
1.07321,-0.115641,0.0423799,0.0676608
1.01923,-0.017858,0.0400357,0.0350986
1.0575,-0.0193726,0.0439034,0.0379027
1.04179,-0.076795,0.0422546,0.046435
1.09016,-0.115699,0.0447092,0.0616823
1.1157,-0.0611199,0.0440452,0.0419004
1.12342,-0.0844078,0.0400963,0.0419919
1.04573,0.0410099,0.0415702,0.0296841
1.12828,-0.0232705,0.041913,0.0384029
1.10914,-0.106107,0.0404563,0.0576283
1.13634,0.0313018,0.0436348,0.0285349
1.12414,-0.0569072,0.0422238,0.0429624
1.16095,-0.0914124,0.0410993,0.0576661
1.15215,-0.0769679,0.0407437,0.0486893
1.14748,-0.108216,0.0435437,0.0533022
1.1267,-0.0175011,0.0444249,0.0345907
1.16096,-0.0889687,0.0450746,0.050401
1.14951,0.0139988,0.0423597,0.0354982
1.14493,-0.159551,0.0453418,0.0756396
1.12229,-0.0461634,0.0420131,0.0517165
1.24467,-0.033225,0.0428922,0.0370535
1.20641,-0.0651674,0.0427205,0.0526234
1.22023,-0.0247655,0.0414834,0.0450834
1.17348,-0.0604558,0.0430813,0.0552557
1.18176,-0.175561,0.0425538,0.0662632
1.21365,-0.0452583,0.0416918,0.0581716
1.14364,-0.0190859,0.0423129,0.0397527
1.20832,-0.0980806,0.0441232,0.0509803
1.20226,-0.0653167,0.0451008,0.0501056
1.22364,-0.0312691,0.0474671,0.0379817
1.19018,-0.0861213,0.0451124,0.0506376
1.18577,-0.0713559,0.0456949,0.0610658
1.23231,-0.0065716,0.0475779,0.0398918
1.26168,-0.0492735,0.0424266,0.0392523
1.24316,-0.0691267,0.0427835,0.0429705
1.20306,-0.0685645,0.0437384,0.0652456
1.23207,-0.0105257,0.0420603,0.0496464
1.28249,-0.0933698,0.0434314,0.0551304
1.25983,-0.0810941,0.0441421,0.0490338
1.2757,-0.122916,0.0431841,0.0571642
1.21201,-0.0547511,0.0451671,0.0432289
1.3156,-0.0169062,0.0424216,0.0397152
1.32877,-0.131689,0.0420564,0.0575156
1.26784,-0.0018757,0.0474433,0.037753
1.30874,-0.0410192,0.0426106,0.0477209
1.32536,-0.0454707,0.0450226,0.0521921
1.26468,-0.125441,0.041731,0.0571097
1.33748,-0.0300898,0.0455168,0.0526265
1.29732,-0.0274146,0.0429132,0.0410267
1.30019,-0.0177298,0.0452357,0.0497726
1.34793,-0.00580203,0.0448681,0.0400969
1.37833,-0.0216251,0.0424284,0.0443958
1.35563,0.0151761,0.0448136,0.0476119
1.3955,-0.0662375,0.0463056,0.0546532
1.33628,0.0340619,0.04254,0.0411499
1.40422,-0.0743518,0.0436667,0.0522482
1.3751,0.00823974,0.043039,0.0399966
1.32481,-0.0187282,0.0442875,0.051095
1.312,0.0273336,0.0426352,0.0478186
1.41332,-0.0204647,0.0449404,0.0445197
1.33891,0.0793949,0.0429174,0.0234709
1.3995,-0.0364303,0.0458213,0.0480243
1.45084,-0.00542058,0.044061,0.0448029
1.34408,-0.057702,0.0438032,0.0548658
