Sarsa,QLearning,Sarsa Error Bar,QLearning Error Bar
455.567,565.6,90.4012,88.7024
455.567,598.767,90.3988,87.7987
455.433,598.733,90.4161,87.8066
455.567,564.133,90.3988,88.9665
455.667,598.833,90.3861,87.7844
455.633,598.567,90.3906,87.8385
455.633,598.733,90.3906,87.8056
455.733,594.1,90.3722,88.7388
455.733,565.4,90.3776,88.7334
455.7,598.733,90.38,87.8056
455.6,598.867,90.3978,87.7772
455.633,598.767,90.3917,87.8003
451.667,598.767,90.9663,87.7989
455.8,598.9,90.3689,87.7723
455.733,598.9,90.3778,87.7756
455.767,565.467,90.3737,88.7202
455.7,565.367,90.3804,88.7366
427.133,565.433,88.8252,88.7272
455.8,565.333,90.371,88.7445
455.867,565.367,90.3597,88.7386
455.833,565.5,90.3638,88.7161
455.9,565.5,90.3552,88.7164
455.967,565.367,90.3464,88.7404
455.933,565.633,90.3505,88.683
455.933,541.133,90.3505,87.8441
455.867,535.733,90.3594,88.5513
427.133,565.367,88.8272,88.7416
426.967,565.4,88.8454,88.7331
455.933,565.233,90.3493,88.7636
456.067,565.333,90.3318,88.7442
456.167,565.367,90.3198,88.7388
486.067,565.333,91.357,88.746
456.2,565.333,90.3154,88.7446
427.6,565.3,88.771,88.7499
486.067,565.4,91.357,88.7319
456.333,565.367,90.2984,88.7403
486.033,565.4,91.3613,88.7321
486.233,565.333,91.3348,88.7454
486.067,565.433,91.357,88.7271
486.067,565.4,91.357,88.7328
486.067,598.8,91.357,87.7943
486.067,598.7,91.357,87.812
486,598.667,91.3657,87.8188
457.267,598.533,90.1826,87.8448
486,598.6,91.3656,87.829
486.033,598.6,91.3613,87.831
486.067,598.633,91.357,87.8233
486.033,598.7,91.3628,87.8109
457.267,598.6,90.1826,87.8307
486.067,598.633,91.357,87.8233
486,598.7,91.3657,87.8107
486.033,598.467,91.3629,87.8527
486.067,598.633,91.357,87.8226
486.067,598.533,91.357,87.8407
486.067,598.667,91.357,87.8169
486.067,565.3,91.357,88.7465
486,565.233,91.3657,88.7594
486.067,557.633,91.357,87.763
486.067,598.6,91.357,87.8288
486.067,565.2,91.357,88.7666
486.067,565.533,91.357,88.6957
486.067,565.2,91.357,88.7666
486,565.533,91.3657,88.6954
457.233,565.233,90.1866,88.7564
457.233,565.2,90.1866,88.7654
457.133,565.2,90.1986,88.7652
457.367,565.167,90.1708,88.7711
486,565.267,91.3657,88.7541
457.367,532,90.1708,89.2297
486.067,531.933,91.357,89.2379
486.067,565.233,91.357,88.7594
486.067,565.333,91.357,88.7411
457.4,562.3,90.1652,89.3353
486,565.267,91.3657,88.7543
486.033,565.333,91.3613,88.7426
457.333,565.333,90.1749,88.7423
486.033,565.233,91.3613,88.7597
486.033,565.2,91.3613,88.7667
457.1,565.233,90.2026,88.7609
457.333,565.267,90.1749,88.7555
486.033,565.2,91.3613,88.7657
457.233,565.233,90.1867,88.7609
457.333,565.233,90.1749,88.7596
457.2,565.1,90.1906,88.7828
486.033,565.267,91.3613,88.7542
457.2,565.233,90.1906,88.7609
457.1,565.233,90.2026,88.7595
457.2,565.2,90.1906,88.7664
486.033,565.133,91.3613,88.7755
457.133,565.167,90.1986,88.7725
457,565.2,90.2147,88.7646
457.067,565.2,90.2066,88.7659
456.933,565.267,90.2228,88.7533
456.933,565.167,90.2228,88.7707
456.933,565.233,90.2228,88.7582
457.033,565.167,90.2107,88.772
457,531.867,90.2147,89.2476
456.933,531.767,90.2228,89.2683
456.867,531.867,90.2309,89.251
456.967,531.833,90.2187,89.2576
457,531.767,90.2147,89.2661
456.9,531.9,90.2268,89.2463
457,531.867,90.2147,89.2506
456.9,531.833,90.2268,89.2573
453.033,514.733,90.7944,87.7197
456.967,531.833,90.2187,89.2573
457.033,531.8,90.2106,89.2609
457.033,531.867,90.2106,89.2506
457.033,531.867,90.2106,89.2503
457.033,532.133,90.2106,89.2085
457.033,531.8,90.2106,89.2623
457.033,531.867,90.2106,89.2492
456.967,531.833,90.2189,89.2569
456.933,531.933,90.2229,89.2398
456.967,531.767,90.2187,89.2676
457.033,531.833,90.2106,89.2561
456.967,531.8,90.2187,89.2628
456.967,531.8,90.2187,89.2606
456.967,531.833,90.2187,89.2573
456.967,531.767,90.2187,89.2666
457.033,531.867,90.2106,89.2516
456.967,531.833,90.2187,89.2556
457.033,531.967,90.2106,89.2373
456.933,531.767,90.2229,89.2676
457.033,531.967,90.2106,89.2354
456.967,531.933,90.2187,89.2371
456.967,532,90.2187,89.2327
457.1,531.8,90.1993,89.2623
457.033,531.967,90.2106,89.2373
457.033,532,90.2106,89.2273
457.033,531.767,90.2106,89.2678
457,531.8,90.2148,89.2602
456.833,531.8,90.235,89.2623
456.833,529.133,90.235,89.7563
456.833,531.967,90.235,89.2356
456.833,531.833,90.235,89.2556
456.8,531.8,90.2391,89.2623
456.833,532.6,90.235,89.1031
486.033,531.867,91.3613,89.2523
456.7,531.767,90.2515,89.2657
456.633,531.833,90.2598,89.2573
456.6,531.833,90.264,89.2556
456.633,531.9,90.2598,89.2459
456.633,532,90.2598,89.2306
456.633,532.033,90.2598,89.2274
456.633,531.867,90.2598,89.2506
456.6,532.033,90.264,89.2238
456.6,498.833,90.264,89.262
456.6,531.867,90.264,89.2506
456.567,532.033,90.2682,89.2239
456.567,532.133,90.2682,89.2108
456.6,531.667,90.264,89.2849
456.533,532.033,90.2723,89.225
456.567,531.967,90.2682,89.2373
456.6,531.867,90.264,89.2503
456.567,532.033,90.2682,89.2274
456.567,531.867,90.2682,89.2506
456.567,531.7,90.2682,89.2758
456.567,532.067,90.2682,89.2206
456.567,531.833,90.2682,89.256
456.567,532.033,90.2682,89.2274
456.567,531.767,90.2682,89.2663
456.567,531.967,90.2682,89.2372
456.467,531.667,90.2803,89.282
456.567,531.8,90.2682,89.2625
456.533,532.033,90.2723,89.226
456.567,531.833,90.2682,89.2573
456.567,565.167,90.2682,88.7697
456.567,510.1,90.2682,87.8581
456.567,531.6,90.2682,89.2914
456.567,532.033,90.2682,89.2263
456.567,531.867,90.2682,89.2517
456.567,532,90.2682,89.2306
456.567,532.067,90.2682,89.2206
456.567,532,90.2682,89.2306
456.567,532.033,90.2682,89.2274
456.567,531.933,90.2682,89.2378
456.567,532.033,90.2682,89.2274
456.5,532,90.2766,89.2306
456.4,531.833,90.2892,89.2556
456.433,531.833,90.2851,89.2571
456.433,532.067,90.2851,89.2206
456.433,531.9,90.2851,89.2466
456.433,532.067,90.2851,89.2207
456.467,531.733,90.2808,89.2707
456.433,565.1,90.2851,88.7821
456.433,531.8,90.2851,89.2573
456.433,531.7,90.2851,89.2775
456.433,532,90.2851,89.2295
456.433,531.967,90.2851,89.2373
456.433,531.933,90.2851,89.2405
456.433,517.667,90.2851,87.7346
456.433,527.567,90.2851,89.9999
456.433,531.8,90.2851,89.2623
456.433,565.433,90.2851,88.7225
456.4,531.933,90.2892,89.2419
456.433,531.733,90.2851,89.2717
456.433,499.133,90.2851,89.185
456.433,531.967,90.2851,89.2338
456.433,531.767,90.2851,89.2677
456.433,531.7,90.2851,89.277
456.433,531.933,90.2851,89.2405
456.433,531.667,90.2851,89.2809
456.433,531.667,90.2851,89.283
456.433,531.833,90.2851,89.2548
456.433,531.667,90.2851,89.2833
456.433,531.7,90.2851,89.2758
456.367,531.6,90.2936,89.2927
456.367,531.767,90.2936,89.2657
456.367,531.733,90.2936,89.2724
456.367,531.433,90.2936,89.3174
456.367,531.7,90.2936,89.2779
456.333,531.533,90.2977,89.3014
456.367,531.667,90.2936,89.2825
456.367,531.933,90.2936,89.2369
456.367,531.567,90.2936,89.2963
456.367,531.6,90.2936,89.2927
456.367,531.7,90.2936,89.2755
456.367,531.433,90.2936,89.3196
456.367,531.633,90.2936,89.286
456.367,531.7,90.2936,89.2769
456.367,531.567,90.2936,89.2962
456.367,531.633,90.2936,89.288
456.367,531.8,90.2936,89.2623
456.367,531.667,90.2936,89.2809
456.367,531.433,90.2936,89.3184
456.367,531.5,90.2936,89.3067
456.367,531.6,90.2936,89.2929
456.367,531.6,90.2936,89.2911
456.367,531.6,90.2936,89.2934
456.333,531.6,90.2977,89.2911
456.367,531.533,90.2936,89.3014
456.367,531.533,90.2936,89.3014
456.367,531.833,90.2936,89.2533
456.367,531.533,90.2936,89.3014
456.367,499,90.2936,89.2002
456.367,531.667,90.2936,89.2822
456.367,531.667,90.2936,89.2809
456.367,531.533,90.2936,89.3019
456.367,531.5,90.2936,89.3066
456.367,531.533,90.2936,89.3031
456.367,531.567,90.2936,89.2916
456.367,531.433,90.2936,89.3184
456.367,531.467,90.2936,89.3105
456.367,531.467,90.2936,89.3086
456.333,531.3,90.2979,89.3395
456.333,531.433,90.2979,89.3164
456.333,531.467,90.2979,89.3087
456.3,531.367,90.302,89.3273
456.333,531.3,90.2979,89.3395
456.333,531.433,90.2979,89.3166
456.333,531.467,90.2979,89.3129
456.333,564.767,90.2979,88.8334
456.333,531.4,90.2979,89.3221
456.333,527.433,90.2979,90.0251
456.3,527.6,90.3022,89.9921
456.3,527.4,90.3022,90.0317
456.3,527.467,90.3022,90.0172
456.3,531.5,90.3022,89.3076
456.3,527.433,90.3022,90.0238
456.3,527.267,90.3022,90.0509
456.3,500.033,90.3022,89.1038
456.3,527.5,90.3022,90.0131
456.3,527.433,90.3022,90.0251
456.3,527.467,90.3022,90.0185
456.3,560.767,90.3022,89.6001
456.267,531.333,90.3063,89.3322
456.3,527.433,90.3022,90.0251
456.3,527.467,90.3022,90.0185
456.3,527.5,90.3022,90.0132
456.333,524.467,90.2981,90.5558
456.3,528.3,90.3022,89.8565
456.3,527.5,90.3022,90.0131
456.3,527.467,90.3022,90.017
456.3,527.433,90.3022,90.0251
456.3,527.467,90.3022,90.0185
456.267,527.4,90.3065,90.0303
456.267,527.5,90.3065,90.0131
456.233,527.4,90.3105,90.0302
456.233,527.367,90.3105,90.0347
456.233,527.467,90.3105,90.0185
456.267,527.5,90.3065,90.0143
456.267,531.6,90.3065,89.2911
456.267,527.433,90.3065,90.0251
456.233,527.467,90.3106,90.0185
456.3,527.433,90.3022,90.0251
456.3,527.533,90.3022,90.005
456.3,527.433,90.3022,90.0238
456.3,527.433,90.3022,90.0251
456.3,527.5,90.3022,90.0131
456.3,531.467,90.3022,89.3134
456.267,527.433,90.3062,90.0237
456.3,527.467,90.3022,90.0196
456.3,527.433,90.3022,90.0236
456.3,527.333,90.3022,90.0397
456.267,527.4,90.3062,90.0302
456.267,527.433,90.3062,90.0236
456.267,527.433,90.3062,90.0251
456.3,531.3,90.3022,89.3377
456.233,527.433,90.3108,90.0251
456.233,527.5,90.3108,90.0131
456.2,527.433,90.3149,90.0251
456.2,527.5,90.3148,90.0131
456.2,527.5,90.3148,90.0131
456.2,527.4,90.3148,90.0303
456.167,527.467,90.3188,90.0185
456.167,494.133,90.3188,90.0159
456.167,531.4,90.3188,89.322
456.233,494.067,90.3108,90.027
456.233,527.467,90.3108,90.0185
456.233,527.467,90.3108,90.0185
456.233,527.633,90.3108,89.9891
456.233,527.533,90.3108,90.0065
456.233,527.5,90.3108,90.0134
456.233,505.367,90.3108,88.629
456.233,531.467,90.3108,89.3112
456.133,527.433,90.3235,90.0251
456.133,560.867,90.3232,89.5829
456.167,527.5,90.3194,90.0119
456.167,524.433,90.3194,90.5623
456.167,527.433,90.3194,90.0237
456.167,527.433,90.3194,90.0251
456.167,527.467,90.3194,90.0184
456.167,528.4,90.3194,89.8381
456.167,531.433,90.3194,89.3168
456.167,527.367,90.3194,90.0369
456.167,527.433,90.3194,90.0236
456.167,527.433,90.3194,90.0251
456.167,527.433,90.3194,90.0236
456.167,527.567,90.3194,90
456.133,528.367,90.3238,89.846
456.133,527.467,90.3238,90.0185
456.1,527.533,90.3279,90.0053
456.133,531.3,90.3238,89.3377
456.133,527.467,90.3238,90.0185
456.133,527.467,90.3238,90.0197
456.133,531.267,90.3238,89.3401
456.133,527.433,90.3238,90.0251
456.133,527.433,90.3238,90.0238
456.133,527.533,90.3238,90.0053
456.1,527.4,90.3281,90.0317
456.1,527.367,90.3281,90.0354
456.1,527.433,90.3281,90.0251
456.1,527.433,90.3281,90.0238
456.1,527.4,90.3281,90.0303
456.1,527.533,90.3281,90.0052
456.1,531.5,90.3281,89.3063
456.067,527.433,90.3323,90.0251
456.1,527.433,90.3281,90.0224
456.1,527.4,90.3281,90.0302
456.1,527.5,90.3281,90.0119
456.1,527.533,90.3281,90.0053
456.1,527.367,90.3281,90.0358
456.1,528.233,90.3281,89.8938
456.1,527.367,90.3281,90.0368
456.1,527.5,90.3281,90.0132
456.1,527.467,90.3281,90.0186
456.1,527.433,90.3281,90.0251
456.1,527.5,90.3281,90.013
456.1,527.4,90.3281,90.0304
456.1,531.433,90.3281,89.3168
456.067,527.467,90.3323,90.0185
456.1,527.433,90.3281,90.0251
456.1,494.2,90.3281,90.0051
456.1,527.333,90.3281,90.0405
456.1,527.433,90.3281,90.0237
456.1,528.333,90.3281,89.8514
456.1,527.467,90.3281,90.0173
456.1,507.833,90.3281,88.5103
456.167,527.433,90.3169,90.0251
456.1,531.2,90.3281,89.349
456.1,527.433,90.3281,90.0251
456.1,527.467,90.3281,90.0185
456.1,527.967,90.3281,89.9203
456.1,527.433,90.3281,90.0251
456.067,527.467,90.3323,90.0183
456.1,527.433,90.3281,90.0251
456.1,527.367,90.3281,90.0345
456.1,531.367,90.3281,89.3266
456.1,527.433,90.3281,90.0251
456.1,527.433,90.3281,90.0239
456.1,560.7,90.3281,89.6118
456.1,560.833,90.3281,89.5873
456.1,560.833,90.3281,89.5889
456.1,560.867,90.3281,89.5815
456.1,560.867,90.3281,89.5818
456.1,564.767,90.3281,88.8378
456.133,560.833,90.3225,89.5871
456.067,527.467,90.3323,90.0185
456.1,560.8,90.3281,89.5932
456.067,560.833,90.3338,89.5873
456.1,560.867,90.3281,89.5827
456.1,561.267,90.3281,89.4951
456.1,557.8,90.3281,90.1725
456.1,560.833,90.3281,89.5873
