Sarsa,QLearning,Sarsa Error Bar,QLearning Error Bar
-144.867,-149.933,0.554466,4.19275
-146.9,-145.8,3.05518,0.642195
-143.167,-148.467,0.538374,2.6595
-150.2,-147.167,4.11959,0.783572
-143.367,-145.133,0.719967,0.592546
-142.9,-148.367,0.570037,2.88973
-147.5,-149.8,3.31307,3.32749
-143.233,-153.233,0.517917,5.95282
-145.7,-145.7,2.88681,0.636351
-145.133,-144.767,2.65214,0.656853
-142.467,-144.9,0.466667,0.538943
-143.633,-145.433,0.748152,0.651582
-143.667,-145.6,0.833678,0.644339
-145.7,-146.4,3.19236,0.793073
-142,-149.567,0.671249,2.77745
-141.733,-147.933,0.598721,2.3843
-142.467,-150.8,0.556536,4.03245
-142.867,-145.133,0.588654,0.495342
-143.067,-147.7,0.672845,3.32706
-146.433,-147.333,3.36093,2.73392
-141.667,-144.667,0.508171,0.673528
-141.133,-144.267,0.485972,0.533764
-144.333,-144.367,2.7377,0.390941
-142.333,-147.767,0.601403,3.23653
-141.6,-144.333,0.456373,0.512675
-141.9,-144.033,0.578047,0.562186
-142.167,-144.467,0.352604,0.554466
-141.533,-143.7,0.562697,0.421137
-144.833,-143.633,2.8991,0.530633
-142.867,-143.7,1.26649,0.686738
-141.567,-146.867,0.648045,2.63475
-140.833,-144.533,0.553117,0.600255
-140.667,-143.667,0.599489,0.652728
-142.133,-145.833,0.408905,2.30446
-142.367,-147.3,1.55103,2.99315
-142,-146.133,1.25762,2.95862
-140.967,-143.6,0.513011,0.69745
-140.067,-146.867,0.44187,2.4917
-140.933,-146.033,0.548631,3.04392
-139.8,-146.133,0.499195,2.77291
-140.8,-143.133,0.44048,0.533333
-142.9,-146.133,2.87052,2.86346
-140.433,-142.867,0.379605,0.509075
-140.267,-143.267,0.472054,0.516249
-140.2,-143.633,0.402292,0.570306
-139.967,-142.767,0.375953,0.524532
-139.9,-142.4,0.381618,0.453847
-139.733,-143.433,0.348835,0.476296
-139.633,-147.1,0.340666,3.14747
-140.833,-142.7,0.46998,0.516732
-140.333,-146.2,0.482649,2.78394
-139.533,-147,0.414489,3.24374
-140.8,-145.8,0.53905,3.17512
-139.067,-143.3,0.425976,0.482212
-138.533,-142.467,0.408905,0.504539
-139.1,-143.267,0.396392,0.701285
-139.133,-142.533,0.361139,0.459218
-141.667,-142.067,3.10222,0.527264
-138.933,-144.8,0.400957,3.19317
-138.467,-142.933,0.506812,0.563106
-138.767,-143.3,0.42259,0.512263
-138.8,-142.2,0.541178,0.555847
-139.767,-141,1.08244,0.383571
-138.733,-142.1,0.386357,0.489781
-139,-142.833,0.583292,0.401386
-138.967,-142.733,0.360343,0.511777
-138.2,-142.367,0.363255,0.453551
-138.6,-143.1,0.497349,0.390549
-138.5,-142.333,0.408952,0.505904
-138.767,-142.2,0.411566,0.399425
-139.167,-143.3,0.374729,0.540647
-138.6,-141.733,0.367032,0.417803
-138.133,-141.867,0.459218,0.42813
-137.6,-142.233,0.38237,0.379605
-138.133,-144.667,0.373653,3.28925
-138.233,-141.567,0.302037,0.446399
-138.333,-141.233,0.359864,0.425301
-138.567,-141.633,0.471445,0.487742
-137.733,-141,0.352115,0.374473
-138.2,-141.533,0.343745,0.499962
-137.767,-144.867,0.433333,2.89142
-137.9,-142.167,0.319302,0.583456
-138.667,-141.8,0.435054,0.384767
-137.8,-141.933,0.319482,0.39808
-137.733,-141.933,0.345524,0.469613
-137.633,-141.367,0.385016,0.458592
-138.267,-141.6,0.377327,0.433112
-137.9,-144.933,0.4244,3.15279
